Threat Id,,,,Latitude,Longitude,Altitude,Latitude(Predicted),Longitude(Predicted),Altitude(Predicted)
3606,,,,42.802397567198696,-71.45639634,5467,42.803092488492361,-71.46298531,5511
3743,,,,42.593588378951743,-71.5963428,411,42.593115938101541,-71.59536756,372
3618,,,,42.547583821766544,-71.50317055,4077,42.54785272185795,-71.50257032,4104
3746,,,,42.594057526254524,-71.5968121,444,42.593724029440835,-71.59602762,410
3747,,,,42.499003284487983,-71.35936748,1552,42.496850806079784,-71.35820278,1564
3749,,,,42.572768861173543,-71.60715517,53,42.572669729294724,-71.60695544,52
3753,,,,42.262547329337494,-71.48345588,4882,42.261147655979833,-71.48834334,4874
3756,,,,42.591912745943354,-71.65463642,611,42.592538932391982,-71.65345729,601
1006,,,,42.584653655151683,-71.6275191,604,42.584730400126311,-71.62707298,601
3633,,,,42.833671451714984,-71.79449452,6758,42.8337397,-71.80142574,6822
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.322320869338263,-71.25280638,4080,42.322170352057022,-71.25470136,4083
3641,,,,42.674178415484107,-71.42157555,1547,42.67535675422404,-71.4213164,1567
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.603153934060138,-71.45159256,1373,42.603481071003884,-71.45036305,1415
3784,,,,42.500346672538896,-71.29754084,969,42.502971350665739,-71.29384281,913
3786,,,,42.441712510365917,-71.31118047,10528,42.446637327819651,-71.30330528,10464
3726,,,,42.786413094407742,-71.97325653,5381,42.790360983581841,-71.96985775,5409
3794,,,,42.278641578895574,-71.35390748,5045,42.275976055762136,-71.35908235,5175
3606,,,,42.802324738859319,-71.4578111,5543,42.802884640842571,-71.46415822,5608
3743,,,,42.593512654256564,-71.59625101,408,42.593121807009332,-71.59556175,373
3618,,,,42.547555434048149,-71.50303418,4082,42.54782433335442,-71.50243395,4108
3746,,,,42.594057526254524,-71.5968121,444,42.593724029440835,-71.59602762,410
3747,,,,42.499003284487983,-71.35936748,1552,42.496850806079784,-71.35820278,1564
3749,,,,42.57273465991868,-71.60709045,54,42.572701340940583,-71.60699597,56
3753,,,,42.261956852651558,-71.48594638,4983,42.260607281635089,-71.49073111,5005
3756,,,,42.591437624565529,-71.65492651,601,42.59200147,-71.65400055,551
1006,,,,42.58445017,-71.62752717,621,42.584173351881141,-71.62721287,629
3633,,,,42.834960900792957,-71.79345695,6719,42.835670286947582,-71.7989472,6763
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.322320869338263,-71.25280638,4080,42.322170352057022,-71.25470136,4083
3641,,,,42.674178415484107,-71.42157555,1547,42.67535675422404,-71.4213164,1567
3707,,,,42.577108008526672,-71.37913742,1417,42.578551802949285,-71.37901387,1397
3709,,,,42.605269358011647,-71.45192794,1399,42.606845539384615,-71.45120009,1444
3784,,,,42.500046863602712,-71.29651674,1286,42.501826899736706,-71.29323496,1326
3786,,,,42.441712510365917,-71.31118047,10528,42.446637327819651,-71.30330528,10464
3726,,,,42.787973079324324,-71.97226445,5299,42.79170394721028,-71.96914664,5303
3794,,,,42.27809430026349,-71.35506609,5115,42.275429484136396,-71.36025223,5259
3606,,,,42.802324738859319,-71.4578111,5543,42.802884640842571,-71.46415822,5608
3743,,,,42.593432216752475,-71.59609211,377,42.592948711240091,-71.59518045,335
3618,,,,42.547589354037086,-71.50277705,4064,42.547867478402168,-71.50218692,4091
3747,,,,42.499003284487983,-71.35936748,1552,42.496850806079784,-71.35820278,1564
3749,,,,42.572756342345045,-71.60706126,54,42.572853098448626,-71.60688095,56
3753,,,,42.261665768544084,-71.48768606,5112,42.260282833809086,-71.4928237,5170
3756,,,,42.59143257,-71.65456732,664,42.591685021890228,-71.65369116,638
1006,,,,42.584277992552259,-71.62748074,632,42.583854701797172,-71.62723359,645
3633,,,,42.835497397910508,-71.79552721,6756,42.836309946011568,-71.80078833,6805
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.321800302213369,-71.25470107,4029,42.321482614399258,-71.25673947,4022
3641,,,,42.674178415484107,-71.42157555,1547,42.67535675422404,-71.4213164,1567
3707,,,,42.577108008526672,-71.37913742,1417,42.578551802949285,-71.37901387,1397
3709,,,,42.605269358011647,-71.45192794,1399,42.606845539384615,-71.45120009,1444
3784,,,,42.498109554358351,-71.29668935,1219,42.498739199021095,-71.29389566,1234
3786,,,,42.444082965992905,-71.30727397,10485,42.448970505762325,-71.29929398,10422
3726,,,,42.788817013929737,-71.97153221,5326,42.792490495700861,-71.96846522,5338
3794,,,,42.27809430026349,-71.35506609,5115,42.275429484136396,-71.36025223,5259
3606,,,,42.80294248,-71.46211298,5628,42.803727998733713,-71.46919515,5709
3800,,,,42.605996619721175,-71.31771714,1373,42.607741036172762,-71.31759049,1260
3743,,,,42.593272128984125,-71.59591042,354,42.59278861927357,-71.59499876,313
3618,,,,42.547685570285239,-71.50258055,4065,42.547963693187491,-71.50199042,4092
3747,,,,42.499003284487983,-71.35936748,1552,42.496850806079784,-71.35820278,1564
3749,,,,42.572756342345045,-71.60706126,54,42.572853098448626,-71.60688095,56
3753,,,,42.261358329766914,-71.48874535,5115,42.260009940498492,-71.49376637,5169
3756,,,,42.591389431719548,-71.65442598,672,42.591641878596882,-71.65354981,646
1006,,,,42.584277992552259,-71.62748074,632,42.583854701797172,-71.62723359,645
3633,,,,42.835427020129188,-71.79757108,6782,42.836121551730564,-71.80315978,6835
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.321800302213369,-71.25470107,4029,42.321482614399258,-71.25673947,4022
3641,,,,42.673565120106076,-71.41894491,1657,42.67375238,-71.41770387,1696
3707,,,,42.577108008526672,-71.37913742,1417,42.578551802949285,-71.37901387,1397
3709,,,,42.605269358011647,-71.45192794,1399,42.606845539384615,-71.45120009,1444
3784,,,,42.49899869416506,-71.29509577,1248,42.499942353275571,-71.29223449,1268
3786,,,,42.444849685157486,-71.30563789,10475,42.449422780679058,-71.29802871,10411
3726,,,,42.78979729,-71.97069097,5336,42.793486816080211,-71.96760368,5349
3794,,,,42.275664443269555,-71.36003777,5234,42.272803784856627,-71.36577437,5375
3606,,,,42.803047673309663,-71.46505212,5674,42.803638350047351,-71.47173886,5752
3800,,,,42.605133590984281,-71.31737739,1385,42.605601845434492,-71.31705245,1302
3743,,,,42.593116239037592,-71.59578099,344,42.592673730992686,-71.59498785,294
3618,,,,42.547668172630829,-71.5022558,4064,42.547896434053087,-71.50167724,4088
3747,,,,42.499003284487983,-71.35936748,1552,42.496850806079784,-71.35820278,1564
3749,,,,42.572560780353555,-71.60653807,58,42.571999829847506,-71.60545117,65
3753,,,,42.26083017920044,-71.49102525,5165,42.259404324132781,-71.49647033,5229
3756,,,,42.59187498,-71.65387378,673,42.592311700301039,-71.65279687,698
1006,,,,42.584245899047637,-71.62712762,628,42.584179220834741,-71.62659933,631
3633,,,,42.835427020129188,-71.79757108,6782,42.836121551730564,-71.80315978,6835
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.320105461709979,-71.25800067,3972,42.319232787116164,-71.26067218,3953
3641,,,,42.674976678861988,-71.4197345,1523,42.675941265288714,-71.41914838,1515
3707,,,,42.578362755499981,-71.37918628,1500,42.57992471,-71.3791246,1510
3709,,,,42.607554648863008,-71.45190615,1442,42.609749327858665,-71.45174391,1488
3784,,,,42.500316337484328,-71.29386682,1220,42.501770278393664,-71.29071418,1230
3786,,,,42.446997853785874,-71.30226573,10483,42.451546107820015,-71.29467411,10431
3726,,,,42.793342486839904,-71.96795661,4969,42.79809377,-71.96393491,4892
3794,,,,42.275664443269555,-71.36003777,5234,42.272803784856627,-71.36577437,5375
3606,,,,42.803047673309663,-71.46505212,5674,42.803638350047351,-71.47173886,5752
3800,,,,42.605616989850112,-71.31742106,1433,42.60630798864279,-71.31717229,1374
3743,,,,42.592913371328336,-71.59557467,337,42.592470859839672,-71.59478154,288
3618,,,,42.54768431,-71.50210887,4067,42.547912574947006,-71.5015303,4091
3747,,,,42.499003284487983,-71.35936748,1552,42.496850806079784,-71.35820278,1564
3749,,,,42.57250511793918,-71.60638465,48,42.572037942990669,-71.60531265,32
3753,,,,42.260203106772863,-71.4936909,5248,42.258782676533166,-71.49919481,5327
3756,,,,42.592145261779528,-71.65345273,669,42.592797198358092,-71.65224223,690
1006,,,,42.584060052841615,-71.62718591,610,42.583771699274457,-71.62715354,604
3633,,,,42.835411388811082,-71.80117882,6805,42.835945694104588,-71.80717459,6858
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.320105461709979,-71.25800067,3972,42.319232787116164,-71.26067218,3953
3641,,,,42.674976678861988,-71.4197345,1523,42.675941265288714,-71.41914838,1515
3707,,,,42.578362755499981,-71.37918628,1500,42.57992471,-71.3791246,1510
3709,,,,42.607554648863008,-71.45190615,1442,42.609749327858665,-71.45174391,1488
3784,,,,42.500316337484328,-71.29386682,1220,42.501770278393664,-71.29071418,1230
3786,,,,42.448343567998734,-71.30027307,10503,42.452913530884544,-71.2926907,10460
3726,,,,42.794486344920394,-71.9672246,4918,42.798654411596964,-71.96369729,4838
